,Name,Class,Probability,g no points,r no points
355,ZTF20adbqgdp,SLSN,0.388,5,11
356,ZTF20adidctd,SNIbc,0.312,7,2
357,ZTF20adbxeen,SNIbc,0.416,1,14
358,ZTF20adbftqm,SNII,0.358,4,12
359,ZTF19adlwrpf,SLSN,0.378,8,4
360,ZTF19adgqent,SNIbc,0.36,12,7
361,ZTF22abwulxm,SNII,0.312,3,10
362,ZTF18adqvcxh,SNII,0.306,17,14
363,ZTF17aabzbtz,SNIbc,0.37,2,7
364,ZTF19admcyjz,SNIbc,0.36,4,6
365,ZTF22abxyjpn,SNIbc,0.348,3,9
366,ZTF19aamjslb,SNIbc,0.296,7,5
367,ZTF22acazcih,SLSN,0.304,13,7
368,ZTF22abzaijw,SNIbc,0.498,5,6
369,ZTF22abzzugn,SNII,0.3,12,15
370,ZTF19adfkaks,SNIbc,0.312,9,3
371,ZTF23aaasvlj,SLSN,0.314,12,11
372,ZTF23aaaspcg,SNIbc,0.368,6,6
373,ZTF23aaaatjn,SNII,0.408,15,15
374,ZTF20aaebhdx,SNIbc,0.306,6,7
375,ZTF22aabhwsu,SNIbc,0.274,13,11
376,ZTF22abyopkf,SNIbc,0.394,3,9
377,ZTF20adbqgdl,SNII,0.322,9,12
378,ZTF23aaawajg,SNIbc,0.292,2,6
379,ZTF22abyrurb,SNIbc,0.46,6,11
380,ZTF22abzawzq,SNIbc,0.298,2,25
381,ZTF22abttagl,SNIbc,0.326,9,4
382,ZTF22abulrlc,SNIbc,0.298,7,7
383,ZTF20adbxeeh,SNIbc,0.286,12,8
384,ZTF20adbftsq,SNII,0.376,3,13
385,ZTF20adbftnx,SNII,0.296,4,7
386,ZTF20adazvwt,SNIbc,0.362,7,1
387,ZTF21aamgpfe,SNIbc,0.354,1,9
388,ZTF22acaagjv,SNIbc,0.352,2,8
389,ZTF22acauzzr,SNIbc,0.338,2,11
390,ZTF22abvggcc,SNII,0.296,2,18
391,ZTF18adqofib,SNIa,0.32,0,19
392,ZTF18adqofie,SNIbc,0.332,1,13
393,ZTF22abubaga,SNIbc,0.308,0,7
394,ZTF22acaiqcc,SNII,0.4,3,30
395,ZTF22aajgbeo,SNIbc,0.364,12,1
396,ZTF18aditebl,SNIbc,0.342,2,11
397,ZTF22abyttje,SNII,0.378,0,14
398,ZTF23aaamaee,SNIbc,0.302,8,5
399,ZTF22abwvmhs,SNIbc,0.312,3,9
400,ZTF23aaasjwy,SNIbc,0.284,9,8
401,ZTF23aaaatee,SNIbc,0.422,13,11
402,ZTF18admixkl,SNII,0.296,13,9
403,ZTF23aaathdd,SNIbc,0.312,10,7
404,ZTF22abvewmo,SNIbc,0.326,7,6
405,ZTF22abyaaou,SNIbc,0.296,6,5
406,ZTF22abyvlli,SNIbc,0.292,1,7
407,ZTF23aaanyyy,SNIa,0.31,9,6
408,ZTF20adaybrt,SNIbc,0.366,2,8
409,ZTF22abyktmi,SNIbc,0.364,3,6
410,ZTF22abzawzp,SNIbc,0.314,1,16
411,ZTF18adqoesm,SNII,0.37,0,20
412,ZTF22aajrsah,SNIbc,0.346,2,9
413,ZTF18adqoetu,SNII,0.344,0,20
414,ZTF23aaahybz,SNIbc,0.324,0,10
415,ZTF18adqogkn,SNIa,0.332,0,14
416,ZTF23aabgdya,SNIbc,0.324,15,14
417,ZTF22abufdns,SNIbc,0.376,7,4
418,ZTF18adqtisj,SNII,0.28,4,12
419,ZTF19aabnpnv,SNIbc,0.344,7,8
420,ZTF19adgrasj,SNIbc,0.298,9,11
421,ZTF22abxljad,SNIbc,0.278,8,7
422,ZTF22abvfupx,SNIbc,0.31,7,3
423,ZTF18admmwih,SNIbc,0.294,7,8
424,ZTF19aamjspa,SNIbc,0.298,7,8
425,ZTF22acazibw,SLSN,0.294,5,6
426,ZTF20adbmycm,SNIbc,0.342,9,4
427,ZTF19adlapyp,SNIbc,0.356,8,10
428,ZTF19achwart,SNIbc,0.312,1,6
429,ZTF23aabfzvf,SNIbc,0.352,8,10
430,ZTF23aaaunzt,SNIbc,0.314,5,11
431,ZTF18adpulcl,SNIbc,0.32,1,15
432,ZTF22acbambr,SNIbc,0.326,1,10
433,ZTF22abxbujd,SNIbc,0.33,0,8
434,ZTF22abuguyc,SNIbc,0.292,0,14
435,ZTF23aaaziwe,SNIbc,0.314,0,9
436,ZTF20aajcyng,SNIbc,0.352,0,14
437,ZTF22abugtka,SNIbc,0.316,0,14
438,ZTF21acqnmww,SNIbc,0.328,0,8
439,ZTF23aabmamb,SNIbc,0.396,5,6
440,ZTF22abueikv,SNIbc,0.354,8,4
441,ZTF23aabmamc,SNII,0.332,11,12
442,ZTF23aaaqeqo,SNIbc,0.292,10,4
443,ZTF22abbormm,SNII,0.336,14,11
444,ZTF23aaagecv,SLSN,0.286,5,8
445,ZTF22acalgpv,SNIbc,0.456,4,10
446,ZTF19abyrxil,SNII,0.336,2,11
447,ZTF23aaatguy,SNIbc,0.35,7,8
448,ZTF21aamktuz,SNIbc,0.334,2,9
449,ZTF18adqrrry,SNIbc,0.294,3,7
450,ZTF21acnctdq,SNIbc,0.314,6,4
451,ZTF22abujgpb,SNIbc,0.374,8,6
452,ZTF23aaaswbz,SNIbc,0.348,5,7
453,ZTF23aaatxlz,SNIbc,0.298,3,9
454,ZTF23aabgfzu,SNIbc,0.314,8,6
455,ZTF23aaawavt,SNIbc,0.376,2,8
456,ZTF23aaatmsn,SNIbc,0.3,10,7
457,ZTF22abvardy,SNIbc,0.312,5,7
458,ZTF18adqtfhg,SLSN,0.3,1,10
459,ZTF22abxbpkv,SNIbc,0.288,8,4
460,ZTF22acadlqs,SNIbc,0.346,5,6
461,ZTF23aabhtln,SNIbc,0.332,3,9
462,ZTF20adbxifq,SLSN,0.332,3,7
463,ZTF23aabhhwl,SNIbc,0.366,8,8
464,ZTF23aaabblf,SNIbc,0.284,7,5
465,ZTF23aabomkc,SNIbc,0.334,4,8
466,ZTF22abssjxl,SNII,0.316,1,8
467,ZTF19adlwnhb,SNII,0.36,11,8
468,ZTF23aaavzeq,SNIbc,0.378,7,13
469,ZTF23aabqrje,SNIbc,0.454,2,8
470,ZTF22abubbbb,SNIbc,0.324,2,9
471,ZTF23aabqrup,SNIbc,0.304,0,11
472,ZTF23aaazgob,SNIbc,0.316,0,18
473,ZTF18admbtxp,SNIbc,0.368,1,10
474,ZTF23aabqsgv,SNIbc,0.3,0,9
475,ZTF18adqnsvf,SNIbc,0.316,0,9
476,ZTF22abxbufi,SNIbc,0.306,0,17
477,ZTF19abindya,SNIbc,0.334,0,8
478,ZTF18admbwrq,SNIbc,0.384,1,9
479,ZTF22abxbtuo,SNIbc,0.334,0,13
480,ZTF18adjssut,SNIbc,0.318,2,14
481,ZTF21aatkomw,SNIbc,0.308,0,7
482,ZTF20aajcwil,SNIbc,0.284,0,8
483,ZTF20adbizty,SNIbc,0.318,10,5
484,ZTF19adlwjsh,SLSN,0.28,10,11
485,ZTF23aaahwws,SNIbc,0.394,2,13
486,ZTF18adqicuw,SNIbc,0.294,0,10
487,ZTF22abzkgja,SNIa,0.364,7,10
488,ZTF23aaaqdtl,SNIbc,0.322,7,7
489,ZTF23aablruf,SNIbc,0.3,0,10
490,ZTF23aaazbtb,SNIbc,0.344,1,7
491,ZTF22acaunjq,SLSN,0.336,2,6
492,ZTF23aaazjox,SNIbc,0.286,0,11
493,ZTF18adqkwsb,SNII,0.298,0,17
494,ZTF20aalagye,SNIbc,0.376,0,8
495,ZTF22abwwwwg,SNIbc,0.346,0,11
496,ZTF20aajdgxz,SNIbc,0.286,0,12
497,ZTF22abyqdhi,SNIbc,0.278,0,8
498,ZTF23aabryso,SNIa,0.322,0,11
499,ZTF23aabsatv,SNII,0.31,0,16
500,ZTF18adqfqiy,SNIa,0.332,0,18
501,ZTF23aaazivx,SNII,0.298,0,16
502,ZTF23aaazjba,SNIa,0.29,0,18
503,ZTF19aczkqtg,SNIbc,0.294,0,9
504,ZTF19adkxmab,SNIbc,0.312,9,7
505,ZTF19aamjzpk,SNIa,0.268,11,6
506,ZTF18adqtgsj,SNII,0.314,3,9
507,ZTF20adbixtd,SLSN,0.294,9,5
508,ZTF20adbxesm,SLSN,0.284,10,9
509,ZTF23aaazkbd,SNIa,0.284,0,14
510,ZTF23aaabcgx,SNIbc,0.444,5,7
511,ZTF22abyulww,SNIbc,0.286,7,6
512,ZTF23aabthrh,SNIbc,0.328,6,2
513,ZTF23aaazjnk,SNIbc,0.288,0,8
514,ZTF22abwuuxs,SNIbc,0.304,0,6
515,ZTF21acowjjr,SNIbc,0.334,0,12
516,ZTF22abyqgkl,SNIbc,0.288,0,17
517,ZTF22abvgkpk,SNIbc,0.3,0,9
518,ZTF18adkmuah,SNIbc,0.312,0,13
519,ZTF23aabgbpr,SNIbc,0.328,5,6
520,ZTF22abuucwb,SNIbc,0.308,8,10
521,ZTF22acacnfu,SNIbc,0.35,13,4
522,ZTF22abwvdxr,SNIbc,0.326,8,6
523,ZTF23aabfzzr,SNIbc,0.304,6,5
524,ZTF19admbzlu,SNIbc,0.392,8,11
525,ZTF23aabgvjn,SNII,0.31,7,8
526,ZTF22abukguu,SNIbc,0.322,2,12
527,ZTF23aaagteq,SNII,0.314,10,6
528,ZTF23aabmprv,SNIbc,0.434,2,8
529,ZTF22abyszwg,SNIbc,0.402,12,11
530,ZTF23aaazaqr,SLSN,0.282,4,8
531,ZTF23aaazjqr,SNIbc,0.278,0,11
532,ZTF18abxsukj,SNIbc,0.276,9,1
533,ZTF18adqfvml,SNIbc,0.302,0,17
534,ZTF23aaaziou,SNII,0.338,0,25
535,ZTF23aaaswzb,SNIbc,0.3,11,10
536,ZTF17aacftye,SNIbc,0.364,6,2
537,ZTF23aaatgld,SNIbc,0.334,6,3
538,ZTF23aaasxlv,SNIbc,0.332,6,6
539,ZTF22acaxvew,SNIbc,0.35,10,3
540,ZTF23aaaqdxy,SNIbc,0.304,9,5
541,ZTF19acknezq,SNIbc,0.284,6,3
542,ZTF23aabxkuz,SNIbc,0.39,4,7
543,ZTF23aabxkse,SNIbc,0.296,10,5
544,ZTF23aabxkvl,SNIbc,0.278,3,7
545,ZTF23aabxkxo,SNIbc,0.336,10,4
546,ZTF23aaaaxgv,SNIbc,0.376,9,10
547,ZTF23aaaahln,SNIbc,0.374,7,9
548,ZTF21aanqfzv,SNIbc,0.378,3,6
549,ZTF18adqpyvp,SNIbc,0.294,7,2
550,ZTF20abjydej,SNIbc,0.372,6,6
551,ZTF23aabxmch,SNIbc,0.336,7,4
552,ZTF22abyeaol,SNIbc,0.296,8,6
553,ZTF18adngzxi,SNIbc,0.34,6,9
554,ZTF23aabgamy,SNIbc,0.28,3,7
555,ZTF23aabgako,SNIbc,0.326,10,7
556,ZTF23aaatwqm,SNIbc,0.328,8,6
557,ZTF18acvumtk,SNIbc,0.32,6,8
558,ZTF18adqtdap,SNIbc,0.288,4,8
559,ZTF23aabsiwq,SLSN,0.258,7,7
560,ZTF22abdlnio,SNIbc,0.36,6,1
561,ZTF18adqduiw,SNIbc,0.27,8,5
562,ZTF20actxoyu,SNIbc,0.326,7,5
563,ZTF23aaaiudn,SNIbc,0.432,8,6
564,ZTF23aaauycn,SNIbc,0.322,8,5
565,ZTF22aabekmn,SNIbc,0.284,5,8
566,ZTF19adlptdd,SNIbc,0.32,11,11
567,ZTF20adcfypk,SNIbc,0.294,10,6
568,ZTF23aabtyzn,SNIbc,0.328,7,6
569,ZTF22acaunur,SNIbc,0.318,4,8
570,ZTF22abxvixb,SNIbc,0.318,1,20
571,ZTF18adqfxvt,SNIbc,0.34,0,11
572,ZTF22abvhvuc,SNIbc,0.388,2,22
573,ZTF23aabuwqz,SNIbc,0.286,0,7
574,ZTF23aacduxv,SNIa,0.288,0,6
575,ZTF18adqofna,SNIbc,0.294,0,16
576,ZTF22abyxnrr,SNIbc,0.374,7,10
577,ZTF20aafcorg,SNIbc,0.406,1,21
578,ZTF18adqofgm,SNIbc,0.308,1,10
579,ZTF23aabloos,SNIbc,0.292,0,20
580,ZTF23aabloht,SNIbc,0.34,0,19
581,ZTF23aablqjg,SNIbc,0.298,0,22
582,ZTF22abzacnm,SNIbc,0.31,6,8
583,ZTF18adqqisg,SNIbc,0.302,6,20
584,ZTF23aacbjon,SNIbc,0.326,8,6
585,ZTF23aacbjpi,SNIbc,0.408,9,8
586,ZTF23aacbjrk,SNIbc,0.362,6,8
587,ZTF23aaanpwh,SNIbc,0.37,3,6
588,ZTF23aaaswho,SNIbc,0.292,9,3
589,ZTF22abujbqs,SNIbc,0.296,2,6
590,ZTF23aacbqtb,SNIbc,0.374,7,8
591,ZTF23aaawzra,SNIbc,0.358,8,3
592,ZTF23aacbddn,SNIbc,0.318,3,7
593,ZTF23aaatxoq,SNIbc,0.344,3,7
594,ZTF22acaxtrx,SNIbc,0.3,13,3
595,ZTF22acabqom,SNIbc,0.306,10,9
596,ZTF23aacbsay,SNIbc,0.318,6,1
597,ZTF19adffizl,SNIbc,0.27,7,6
598,ZTF23aacbvay,SNIbc,0.32,7,5
599,ZTF23aacbuwm,SNIbc,0.292,6,3
600,ZTF23aacbuwi,SNIbc,0.332,7,6
601,ZTF23aacbuzc,SNIbc,0.338,8,5
602,ZTF19adgeyju,SNIbc,0.33,9,7
603,ZTF18adqrmqc,SNIbc,0.292,6,7
604,ZTF18acywqqy,SNIbc,0.346,3,9
605,ZTF19adgjnhl,SNIbc,0.296,7,6
606,ZTF23aabyybe,SNIbc,0.374,1,7
607,ZTF18adqteyn,SNIbc,0.282,8,8
608,ZTF23aaaqdcr,SNIbc,0.412,5,8
609,ZTF18adpxrqy,SNIbc,0.328,1,7
610,ZTF18adbfxns,SNIbc,0.372,2,7
611,ZTF19admbvma,SNIbc,0.318,7,6
612,ZTF23aabgflp,SNIbc,0.334,9,8
613,ZTF18adqtesv,SNIbc,0.296,2,6
614,ZTF18adbgase,SNIbc,0.306,4,6
615,ZTF22acaycot,SNIbc,0.392,4,6
616,ZTF23aaccewj,SNIbc,0.314,3,7
617,ZTF20adbxfwr,SNIa,0.27,10,10
618,ZTF23aaaqrxk,SNIbc,0.368,4,11
619,ZTF23aaaebug,SNIbc,0.272,8,7
620,ZTF23aabornm,SNIbc,0.324,6,1
621,ZTF20adaybrr,SNIbc,0.278,5,9
622,ZTF18adqwtdd,SNIbc,0.286,6,6
623,ZTF18adqwoyp,SNIbc,0.374,9,6
624,ZTF22abxtcxj,SNIbc,0.272,1,10
625,ZTF22aabhvfq,SNIbc,0.372,10,8
626,ZTF18adqofic,SNIbc,0.364,1,19
627,ZTF18adqwnhq,SNIbc,0.368,7,10
628,ZTF22abyvmex,SNIbc,0.254,13,9
629,ZTF23aabcydp,SNIbc,0.39,6,9
630,ZTF22abuafhn,SNIbc,0.362,4,8
631,ZTF22abmtmul,SNIbc,0.268,3,7
632,ZTF23aablotj,SNIbc,0.328,0,17
633,ZTF22acahdqm,SNIbc,0.274,9,5
634,ZTF23aaazgrb,SNIbc,0.32,0,11
