,Name,Class,Probability,g no points,r no points
751,ZTF23aacgnef,SNIbc,0.292,0,15
752,ZTF23aacgnhw,SNIbc,0.314,0,15
753,ZTF22abxbyqb,SNIbc,0.346,0,11
754,ZTF23aacgoie,SNIbc,0.278,0,11
755,ZTF18adnmodb,SNIbc,0.282,0,28
756,ZTF23aacgmur,SNIbc,0.29,0,11
757,ZTF23aacgnaf,SNIbc,0.28,0,14
758,ZTF23aacgmer,SNIbc,0.276,0,11
759,ZTF22abugnkj,SNIbc,0.292,0,10
760,ZTF23aablodt,SNIbc,0.304,0,13
761,ZTF23aabrzgo,SNIbc,0.274,0,14
762,ZTF23aacgmzy,SNIbc,0.286,0,8
763,ZTF23aabloas,SNIbc,0.3,0,18
764,ZTF20acpiuif,SNIbc,0.324,0,10
765,ZTF23aacgmad,SNIbc,0.314,0,12
766,ZTF23aacgohh,SNIbc,0.282,0,12
767,ZTF23aacgpip,SNIbc,0.294,0,8
768,ZTF23aacgmfa,SNIa,0.286,0,24
769,ZTF19aczkpjt,SNIbc,0.302,0,20
770,ZTF23aacgnhc,SNIbc,0.312,0,22
771,ZTF22abxlveq,SNIbc,0.302,0,11
772,ZTF23aacgqjq,SNIbc,0.342,0,13
773,ZTF23aacdpmo,SNIbc,0.29,0,15
774,ZTF23aacgqpc,SNIbc,0.298,0,13
775,ZTF23aacdrzk,SNIbc,0.306,0,12
776,ZTF18adqfyte,SNIbc,0.294,0,15
777,ZTF23aacdseo,SNIbc,0.298,0,10
778,ZTF23aacdrmn,SNIbc,0.276,0,12
779,ZTF23aacgyhx,SNIbc,0.306,7,9
780,ZTF23aabgvyw,SNIbc,0.294,7,6
781,ZTF23aabamtz,SNIbc,0.284,2,6
782,ZTF23aaaaxtw,SNIbc,0.392,1,6
783,ZTF18adqtece,SNIbc,0.382,3,6
784,ZTF23aaawqtw,SNIbc,0.382,3,10
785,ZTF23aaahegu,SNIbc,0.462,4,6
786,ZTF18adrmpdl,SNIbc,0.312,1,6
787,ZTF22aabacgf,SNIbc,0.408,3,7
788,ZTF23aaahbry,SNIbc,0.382,3,6
789,ZTF22aageqju,SNIbc,0.31,2,6
790,ZTF21acpkdgt,SNIbc,0.306,6,11
